0,1292528
1,1292062
2,1297052
3,3011091
4,1959195
5,1308767
6,6985810
7,1978709
8,1294639
9,1298070
10,2149806
11,26683290
12,1300117
13,3541415
14,1292063
15,1295399
16,2363506
17,1292343
18,1296736
19,1867345
20,10577869
21,1295124
22,1292370
23,5989818
24,1291579
25,1302467
26,3792799
27,2053515
28,1296141
29,1907966
30,1292220
31,1292656
32,1292001
33,1308575
34,1293964
35,1291548
36,1291583
37,10808442
38,1851857
39,5908478
40,1291578
41,1296753
42,1929463
43,1295644
44,1303394
45,1292000
46,1294371
47,25807345
48,1292270
49,1297447
50,1293318
51,1937946
52,1291999
53,5912992
54,1291572
55,11026735
56,1291843
57,1291545
58,1292208
59,1293544
60,1306029
61,1900841
62,1291832
63,1302827
64,1303021
65,2300586
66,3008247
67,25724855
68,1293359
69,1306861
70,1291818
71,1297192
72,1308857
73,1305690
74,1858711
75,3011235
76,25773932
77,26628357
78,1299131
79,25917973
80,1292401
81,3072124
82,6786002
83,1418200
84,1292365
85,1295409
86,2213597
87,1419936
88,5322596
89,1292728
90,1300741
91,3395373
92,6307447
93,1309046
94,2129039
95,1292056
96,26580232
97,1292064
98,1296339
99,1292233
100,1292722
101,1304447
102,1307315
103,1292329
104,4202302
105,1417598
106,3287562
107,2334904
108,1292720
109,1302425
110,1297359
111,1297630
112,1388216
113,1780330
114,1292281
115,1291822
116,1293181
117,1293839
118,2222996
119,1905462
120,10533913
121,1294408
122,1787291
123,3793023
124,3443389
125,1292217
126,1401118
127,1438652
128,5964718
129,1292262
130,2297265
131,1294638
132,11525673
133,3075287
134,6874403
135,1292223
136,24750126
137,1304102
138,3442220
139,4023638
140,1291841
141,1300374
142,1300992
143,1298653
144,1299361
145,1292215
146,1292402
147,2131459
148,4798888
149,1316510
150,10463953
151,3007773
152,1793929
153,2043546
154,1292224
155,1418019
156,1297574
157,1307793
158,1295865
159,4739952
160,1300299
161,21318488
162,25662329
163,1293908
164,1292337
165,3742360
166,2353023
167,1297478
168,1291561
169,1294240
170,1291568
171,1428175
172,1292213
173,3073124
174,2209573
175,1295038
176,1293172
177,1760622
178,1298624
179,1291875
180,1293182
181,1305164
182,1862151
183,1485260
184,6534248
185,1309163
186,1849031
187,1291571
188,1292679
189,1395091
190,21937445
191,1652587
192,1292659
193,1308807
194,1306249
195,1291828
196,1296909
197,1300267
198,1291992
199,1292849
200,3157605
201,21937452
202,1291560
203,3319755
204,1292434
205,1291990
206,1291870
207,3011051
208,1291546
209,1293350
210,4268598
211,26430107
212,1299398
213,3217169
214,1291858
215,1865703
216,1291549
217,1307914
218,1300960
219,1291557
220,1291844
221,21360417
222,1291879
223,1305725
224,1397546
225,26325320
226,1292274
227,1889243
228,1308777
229,1418834
230,1307811
231,1302476
232,1291585
233,1293460
234,1292052
235,1291552
236,1292214
237,1305487
238,4917726
239,1292328
240,1303037
241,1301753
242,26387939
243,10777687
244,1291853
245,25980443
246,25814705
247,25814707
248,1578507
249,1292287
